"","payment_date","payment_amount","week","gap"
"95",2026-04-28,0,18,36
"96",2026-04-29,0,18,37
"97",2026-04-30,0,18,38
"98",2026-05-01,0,18,39
"99",2026-05-02,0,18,40
"100",2026-05-03,0,18,41
"101",2026-05-04,0,19,42
"102",2026-05-05,0,19,43
"103",2026-05-06,0,19,44
"104",2026-05-07,0,19,45
"105",2026-05-08,0,19,46
"106",2026-05-09,0,19,47
"107",2026-05-10,0,19,48
"108",2026-05-11,0,20,49
"109",2026-05-12,0,20,50
"110",2026-05-13,0,20,51
"111",2026-05-14,0,20,52
"112",2026-05-15,0,20,53
"113",2026-05-16,0,20,54
"114",2026-05-17,0,20,55
"115",2026-05-18,0,21,56
"116",2026-05-19,0,21,57
"117",2026-05-20,0,21,58
"118",2026-05-21,0,21,59
"119",2026-05-22,0,21,60
"120",2026-05-23,0,21,61
"121",2026-05-24,0,21,62
"122",2026-05-25,0,22,63
"123",2026-05-26,0,22,64
"124",2026-05-27,0,22,65
"125",2026-05-28,0,22,66
"126",2026-05-29,0,22,67
"127",2026-05-30,0,22,68
"128",2026-05-31,0,22,69
"129",2026-06-01,0,23,70
"130",2026-06-02,0,23,71
"131",2026-06-03,0,23,72
"132",2026-06-04,0,23,73
"133",2026-06-05,0,23,74
"134",2026-06-06,0,23,75
"135",2026-06-07,0,23,76
"136",2026-06-08,0,24,77
"137",2026-06-09,0,24,78
"138",2026-06-10,0,24,79
"139",2026-06-11,0,24,80
"140",2026-06-12,0,24,81
"141",2026-06-13,0,24,82
"142",2026-06-14,0,24,83
"143",2026-06-15,0,25,84
"144",2026-06-16,0,25,85
"145",2026-06-17,440,25,0
"146",2026-06-18,0,25,1
"147",2026-06-19,0,25,2
"148",2026-06-20,0,25,3
"149",2026-06-21,0,25,4
"150",2026-06-22,300,26,0
"151",2026-06-23,1040,26,0
"152",2026-06-24,300,26,0
"153",2026-06-25,0,26,1
"154",2026-06-26,1340,26,0
"155",2026-06-27,740,26,0
"156",2026-06-28,600,26,0
"157",2026-06-29,0,27,1
"158",2026-06-30,600,27,0
"159",2026-07-01,0,27,1
"160",2026-07-02,1040,27,0
"161",2026-07-03,1340,27,0
"162",2026-07-04,440,27,0
"163",2026-07-05,300,27,0
"164",2026-07-06,900,28,0
"165",2026-07-07,440,28,0
"166",2026-07-08,0,28,1
"167",2026-07-09,880,28,0
"168",2026-07-10,900,28,0
"169",2026-07-11,0,28,1
"170",2026-07-12,0,28,2
"171",2026-07-13,900,29,0
"172",2026-07-14,0,29,1
"173",2026-07-15,1180,29,0
"174",2026-07-16,0,29,1
"175",2026-07-17,600,29,0
"176",2026-07-18,1200,29,0
"177",2026-07-19,300,29,0
"178",2026-07-20,900,30,0
"179",2026-07-21,0,30,1
"180",2026-07-22,0,30,2
"181",2026-07-23,300,30,0
"182",2026-07-24,0,30,1
"183",2026-07-25,0,30,2
"184",2026-07-26,440,30,0
"185",2026-07-27,600,31,0
"186",2026-07-28,740,31,0
"187",2026-07-29,600,31,0
"188",2026-07-30,600,31,0
"189",2026-07-31,600,31,0
"190",2026-08-01,1640,31,0
"191",2026-08-02,440,31,0
"192",2026-08-03,900,32,0
"193",2026-08-04,0,32,1
"194",2026-08-05,600,32,0
"195",2026-08-06,900,32,0
"196",2026-08-07,0,32,1
"197",2026-08-08,0,32,2
"198",2026-08-09,440,32,0
"199",2026-08-10,300,33,0
"200",2026-08-11,1620,33,0
"201",2026-08-12,0,33,1
"202",2026-08-13,1480,33,0
"203",2026-08-14,0,33,1
"204",2026-08-15,0,33,2
"205",2026-08-16,300,33,0
