"","payment_date","payment_amount","week","gap","date_factor","day_type"
"183",2026-07-25,0,30,2,"2026-07-25","weekend"
"184",2026-07-26,440,30,0,"2026-07-26","weekend"
"185",2026-07-27,600,31,0,"2026-07-27","weekday"
"186",2026-07-28,740,31,0,"2026-07-28","weekday"
"187",2026-07-29,600,31,0,"2026-07-29","weekday"
"188",2026-07-30,600,31,0,"2026-07-30","weekday"
"189",2026-07-31,600,31,0,"2026-07-31","weekday"
"190",2026-08-01,1640,31,0,"2026-08-01","weekend"
"191",2026-08-02,440,31,0,"2026-08-02","weekend"
"192",2026-08-03,900,32,0,"2026-08-03","weekday"
"193",2026-08-04,0,32,1,"2026-08-04","weekday"
"194",2026-08-05,600,32,0,"2026-08-05","weekday"
"195",2026-08-06,900,32,0,"2026-08-06","weekday"
"196",2026-08-07,0,32,1,"2026-08-07","weekday"
"197",2026-08-08,0,32,2,"2026-08-08","weekend"
"198",2026-08-09,440,32,0,"2026-08-09","weekend"
"199",2026-08-10,300,33,0,"2026-08-10","weekday"
"200",2026-08-11,1620,33,0,"2026-08-11","weekday"
"201",2026-08-12,0,33,1,"2026-08-12","weekday"
"202",2026-08-13,1480,33,0,"2026-08-13","weekday"
"203",2026-08-14,0,33,1,"2026-08-14","weekday"
"204",2026-08-15,0,33,2,"2026-08-15","weekend"
"205",2026-08-16,300,33,0,"2026-08-16","weekend"
